Sno,Exercise Name,Exercise Intensity,METS,Reps/Time,Time Taken,Base,Rep Format,Type,Flow,Video-A,Video-B
44,WIDE PUSH UP,Moderate,5,4,8,REP,Single Movement,Dumbell/Barbell/Gym,repetitive,1,0
42,OVER HEAD SLAMS,Moderate,3.5,3,6,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
12,BARBELL REVERSE LUNGE,High,6,3,20,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
17,ELEVATED GLUTE BRIDGES,Moderate,3.5,4,15,REP,Single Movement,Body Weight,follow,0,0
47,STACKED PUSH UP,Moderate,5,3,20,REP,Single Movement,Body Weight,repetitive,1,0
1,BARBELL BENT ROW,Moderate,5,4,7,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
2,BARBELL CURL,Moderate,3.5,4,19,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
3,BARBELL REVERSE CURL,Moderate,3.5,4,18,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
4,BARBELL CALVES RAISE,Moderate,3.5,4,14,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
5,BARBELL DEAD LIFT (LOWER BACK),High,6,4,19,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
6,BARBELL GLUTE BRIDGE,Moderate,3.5,4,15,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
7,BARBELL KNEELING ROLL OUT,High,6,4,22,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
8,POWER CLEAN,High,6,4,21,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
9,HANG CLEAN,High,6,4,15,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
10,BARBELL DEEP SQUAT,High,6,4,13,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
11,BARBELL FOWARD LUNGE,High,6,4,35,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
13,BARBELL SHRUG,Moderate,3.5,4,14,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
14,FLAT BENCH PRESS (BARBELL),High,6,4,11,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
15,LYING BARBELL TRICEPS EXTENSION,Moderate,3.5,4,14,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
16,CLOSE GRIP BENCH PRESS (TRICEPS),Moderate,3.5,4,14,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
17,Elevated Glute Bridges,Moderate,5,4,15,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
18,Seated shoulder Press (Barbell),High,6,4,9,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
19,Bulgarian Split Squat (Dumbbell),High,6,3,19,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
20,Seated Biceps Curl (Dumbbell),Moderate,3.5,4,19,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
21,Incline Chest Press (Dumbbell),High,6,4,9,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
22,Flat Chest Fly (Dumbbell),Moderate,5,4,16,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
23,Lying Pullover (Dumbbell),Moderate,5,4,21,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
